edgeR (QL)	0	0.01	0.0071
edgeR (QL)	0	0.002	0.0018
edgeR (QL)	0	0.05	0.039
edgeR (LRT)	0	0.01	0.0097
edgeR (LRT)	0	0.002	0.0027
edgeR (LRT)	0	0.05	0.0525
DESeq2	0	0.01	0.0097
DESeq2	0	0.002	0.0026
DESeq2	0	0.05	0.0524
voom	0	0.01	0.0106
voom	0	0.002	0.0026
voom	0	0.05	0.0505
voom (cor)	0	0.01	0.0156
voom (cor)	0	0.002	0.0039
voom (cor)	0	0.05	0.0627
MAST	0	0.01	0.0073
MAST	0	0.002	0.0016
MAST	0	0.05	0.0374
monocle	0	0.01	0.0105
monocle	0	0.002	0.0031
monocle	0	0.05	0.0565
edgeR (QL)	0	0.01	0.0062
edgeR (QL)	0	0.002	0.0013
edgeR (QL)	0	0.05	0.0388
edgeR (LRT)	0	0.01	0.0108
edgeR (LRT)	0	0.002	0.0028
edgeR (LRT)	0	0.05	0.0526
DESeq2	0	0.01	0.0113
DESeq2	0	0.002	0.0029
DESeq2	0	0.05	0.0527
voom	0	0.01	0.0116
voom	0	0.002	0.0018
voom	0	0.05	0.0496
voom (cor)	0	0.01	0.0164
voom (cor)	0	0.002	0.0034
voom (cor)	0	0.05	0.0614
MAST	0	0.01	0.0076
MAST	0	0.002	0.0012
MAST	0	0.05	0.0383
edgeR (QL)	0	0.01	0.0087
edgeR (QL)	0	0.002	0.0015
edgeR (QL)	0	0.05	0.0399
edgeR (LRT)	0	0.01	0.0136
edgeR (LRT)	0	0.002	0.0034
edgeR (LRT)	0	0.05	0.0536
DESeq2	0	0.01	0.0138
DESeq2	0	0.002	0.0032
DESeq2	0	0.05	0.0537
voom	0	0.01	0.0103
voom	0	0.002	0.0023
voom	0	0.05	0.0527
voom (cor)	0	0.01	0.0168
voom (cor)	0	0.002	0.0039
voom (cor)	0	0.05	0.0674
MAST	0	0.01	0.0055
MAST	0	0.002	0.0012
MAST	0	0.05	0.0381
edgeR (QL)	0	0.01	0.0067
edgeR (QL)	0	0.002	0.0015
edgeR (QL)	0	0.05	0.0365
edgeR (LRT)	0	0.01	0.0107
edgeR (LRT)	0	0.002	0.0032
edgeR (LRT)	0	0.05	0.0484
DESeq2	0	0.01	0.011
DESeq2	0	0.002	0.0031
DESeq2	0	0.05	0.0474
voom	0	0.01	0.0096
voom	0	0.002	0.0025
voom	0	0.05	0.0478
voom (cor)	0	0.01	0.0146
voom (cor)	0	0.002	0.0034
voom (cor)	0	0.05	0.0608
MAST	0	0.01	0.0058
MAST	0	0.002	7e-04
MAST	0	0.05	0.0376
edgeR (QL)	0	0.01	0.0075
edgeR (QL)	0	0.002	0.0014
edgeR (QL)	0	0.05	0.0417
edgeR (LRT)	0	0.01	0.0134
edgeR (LRT)	0	0.002	0.0034
edgeR (LRT)	0	0.05	0.0557
DESeq2	0	0.01	0.0133
DESeq2	0	0.002	0.0033
DESeq2	0	0.05	0.0566
voom	0	0.01	0.0106
voom	0	0.002	0.0019
voom	0	0.05	0.0516
voom (cor)	0	0.01	0.0166
voom (cor)	0	0.002	0.0039
voom (cor)	0	0.05	0.066
MAST	0	0.01	0.007
MAST	0	0.002	0.0015
MAST	0	0.05	0.04
edgeR (QL)	0	0.01	0.007
edgeR (QL)	0	0.002	9e-04
edgeR (QL)	0	0.05	0.0352
edgeR (LRT)	0	0.01	0.0105
edgeR (LRT)	0	0.002	0.0022
edgeR (LRT)	0	0.05	0.0487
DESeq2	0	0.01	0.0109
DESeq2	0	0.002	0.0022
DESeq2	0	0.05	0.0489
voom	0	0.01	0.0101
voom	0	0.002	0.0017
voom	0	0.05	0.0449
voom (cor)	0	0.01	0.0156
