edgeR (QL)	0	0.01	0.0089
edgeR (QL)	0	0.002	0.0023
edgeR (QL)	0	0.05	0.0486
DESeq2	0	0.01	0.017
DESeq2	0	0.002	0.0055
DESeq2	0	0.05	0.0669
voom	0	0.01	0.0096
voom	0	0.002	0.0024
voom	0	0.05	0.0511
edgeR (QL)	0	0.01	0.01
edgeR (QL)	0	0.002	0.002
edgeR (QL)	0	0.05	0.0484
DESeq2	0	0.01	0.0183
DESeq2	0	0.002	0.0054
DESeq2	0	0.05	0.0657
voom	0	0.01	0.0099
voom	0	0.002	0.0021
voom	0	0.05	0.05
edgeR (QL)	0	0.01	0.0127
edgeR (QL)	0	0.002	0.0024
edgeR (QL)	0	0.05	0.0496
DESeq2	0	0.01	0.0192
DESeq2	0	0.002	0.0056
DESeq2	0	0.05	0.0692
voom	0	0.01	0.0124
voom	0	0.002	0.0026
voom	0	0.05	0.0517
edgeR (QL)	0	0.01	0.0096
edgeR (QL)	0	0.002	0.0028
edgeR (QL)	0	0.05	0.0457
DESeq2	0	0.01	0.0163
DESeq2	0	0.002	0.0053
DESeq2	0	0.05	0.064
voom	0	0.01	0.0096
voom	0	0.002	0.0025
voom	0	0.05	0.0472
edgeR (QL)	0	0.01	0.0117
edgeR (QL)	0	0.002	0.0021
edgeR (QL)	0	0.05	0.052
DESeq2	0	0.01	0.0188
DESeq2	0	0.002	0.0068
DESeq2	0	0.05	0.0708
voom	0	0.01	0.0118
voom	0	0.002	0.0024
voom	0	0.05	0.0522
edgeR (QL)	0	0.01	0.0095
edgeR (QL)	0	0.002	0.0019
edgeR (QL)	0	0.05	0.0459
DESeq2	0	0.01	0.0166
DESeq2	0	0.002	0.0047
DESeq2	0	0.05	0.0629
voom	0	0.01	0.0104
voom	0	0.002	0.002
voom	0	0.05	0.0476
edgeR (QL)	0	0.01	0.0102
edgeR (QL)	0	0.002	0.0017
edgeR (QL)	0	0.05	0.0488
DESeq2	0	0.01	0.0167
DESeq2	0	0.002	0.0044
DESeq2	0	0.05	0.0675
voom	0	0.01	0.0105
voom	0	0.002	0.0014
voom	0	0.05	0.0518
edgeR (QL)	0	0.01	0.0114
edgeR (QL)	0	0.002	0.0025
edgeR (QL)	0	0.05	0.0513
DESeq2	0	0.01	0.0174
DESeq2	0	0.002	0.005
DESeq2	0	0.05	0.0693
voom	0	0.01	0.0116
voom	0	0.002	0.0021
voom	0	0.05	0.0528
edgeR (QL)	0	0.01	0.0093
edgeR (QL)	0	0.002	0.0019
edgeR (QL)	0	0.05	0.0488
DESeq2	0	0.01	0.0183
DESeq2	0	0.002	0.0045
DESeq2	0	0.05	0.0654
voom	0	0.01	0.0096
voom	0	0.002	0.0021
voom	0	0.05	0.0498
edgeR (QL)	0	0.01	0.0085
edgeR (QL)	0	0.002	0.0015
edgeR (QL)	0	0.05	0.0462
DESeq2	0	0.01	0.0166
DESeq2	0	0.002	0.0048
DESeq2	0	0.05	0.0638
voom	0	0.01	0.0088
voom	0	0.002	0.0013
voom	0	0.05	0.0471
edgeR (QL)	0.5	0.01	0.0133
edgeR (QL)	0.5	0.002	0.0035
edgeR (QL)	0.5	0.05	0.0641
DESeq2	0.5	0.01	0.0299682929323923
DESeq2	0.5	0.002	0.011148614094303
DESeq2	0.5	0.05	0.101258054617981
voom	0.5	0.01	0.0095
voom	0.5	0.002	0.0019
voom	0.5	0.05	0.0493
edgeR (QL)	0.5	0.01	0.013
edgeR (QL)	0.5	0.002	0.0021
edgeR (QL)	0.5	0.05	0.0643
DESeq2	0.5	0.01	0.0265859166495586
DESeq2	0.5	0.002	0.00923834941490454
DESeq2	0.5	0.05	0.0987476904126463
voom	0.5	0.01	0.0074
voom	0.5	0.002	0.0012
voom	0.5	0.05	0.0431
edgeR (QL)	0.5	0.01	0.0132
edgeR (QL)	0.5	0.002	0.0014
edgeR (QL)	0.5	0.05	0.0681
DESeq2	0.5	0.01	0.0316565925622375
DESeq2	0.5	0.002	0.0109619915992214
DESeq2	0.5	0.05	0.101833828501178
voom	0.5	0.01	0.0101
voom	0.5	0.002	0.0017
voom	0.5	0.05	0.0512
edgeR (QL)	0.5	0.01	0.0123
edgeR (QL)	0.5	0.002	0.0019
edgeR (QL)	0.5	0.05	0.0618
DESeq2	0.5	0.01	0.0294568886161399
DESeq2	0.5	0.002	0.0103303671882991
DESeq2	0.5	0.05	0.0969622583614606
voom	0.5	0.01	0.0074
voom	0.5	0.002	0.0017
voom	0.5	0.05	0.0476
edgeR (QL)	0.5	0.01	0.0141
edgeR (QL)	0.5	0.002	0.0032
edgeR (QL)	0.5	0.05	0.0648
DESeq2	0.5	0.01	0.0454405894995395
DESeq2	0.5	0.002	0.0183195169378774
DESeq2	0.5	0.05	0.123835840753249
voom	0.5	0.01	0.0097
voom	0.5	0.002	0.0018
voom	0.5	0.05	0.0494
edgeR (QL)	0.5	0.01	0.0145
edgeR (QL)	0.5	0.002	0.003
edgeR (QL)	0.5	0.05	0.0668
DESeq2	0.5	0.01	0.0321853218532185
DESeq2	0.5	0.002	0.0105576055760558
DESeq2	0.5	0.05	0.101066010660107
voom	0.5	0.01	0.0093
voom	0.5	0.002	0.0014
voom	0.5	0.05	0.0495
edgeR (QL)	0.5	0.01	0.0127
edgeR (QL)	0.5	0.002	0.0017
edgeR (QL)	0.5	0.05	0.0667
DESeq2	0.5	0.01	0.0454545454545455
DESeq2	0.5	0.002	0.0165195977837061
DESeq2	0.5	0.05	0.12743689718859
voom	0.5	0.01	0.009
voom	0.5	0.002	0.0011
voom	0.5	0.05	0.0476
edgeR (QL)	0.5	0.01	0.0132
edgeR (QL)	0.5	0.002	0.0031
edgeR (QL)	0.5	0.05	0.0673
DESeq2	0.5	0.01	0.031505728314239
DESeq2	0.5	0.002	0.0110474631751228
DESeq2	0.5	0.05	0.105053191489362
voom	0.5	0.01	0.0102
voom	0.5	0.002	0.0026
voom	0.5	0.05	0.0527
edgeR (QL)	0.5	0.01	0.0124
edgeR (QL)	0.5	0.002	0.0021
edgeR (QL)	0.5	0.05	0.0632
DESeq2	0.5	0.01	0.0290643935503749
DESeq2	0.5	0.002	0.00883228920612098
DESeq2	0.5	0.05	0.0977713874910137
voom	0.5	0.01	0.0075
voom	0.5	0.002	0.0013
voom	0.5	0.05	0.045
edgeR (QL)	0.5	0.01	0.0133
edgeR (QL)	0.5	0.002	0.0032
edgeR (QL)	0.5	0.05	0.0648
DESeq2	0.5	0.01	0.0292912740680049
DESeq2	0.5	0.002	0.00942236788201557
DESeq2	0.5	0.05	0.101700122900451
voom	0.5	0.01	0.0096
voom	0.5	0.002	0.002
voom	0.5	0.05	0.0467
