edgeR (QL)	0	0.01	0.0068
edgeR (QL)	0	0.002	0.0012
edgeR (QL)	0	0.05	0.038
edgeR (LRT)	0	0.01	0.0113
edgeR (LRT)	0	0.002	0.0025
edgeR (LRT)	0	0.05	0.0524
DESeq2	0	0.01	0.0114
DESeq2	0	0.002	0.0025
DESeq2	0	0.05	0.0521
voom	0	0.01	0.0099
voom	0	0.002	0.0015
voom	0	0.05	0.0532
voom (cor)	0	0.01	0.0146
voom (cor)	0	0.002	0.0029
voom (cor)	0	0.05	0.065
MAST	0	0.01	0.0064
MAST	0	0.002	0.0014
MAST	0	0.05	0.0388
Monocle	0	0.01	0.0129
Monocle	0	0.002	0.0028
Monocle	0	0.05	0.0572
edgeR (QL)	0	0.01	0.007
edgeR (QL)	0	0.002	0.0013
edgeR (QL)	0	0.05	0.0356
edgeR (LRT)	0	0.01	0.0112
edgeR (LRT)	0	0.002	0.0023
edgeR (LRT)	0	0.05	0.0489
DESeq2	0	0.01	0.0111
DESeq2	0	0.002	0.0023
DESeq2	0	0.05	0.0484
voom	0	0.01	0.01
voom	0	0.002	0.0022
voom	0	0.05	0.0471
voom (cor)	0	0.01	0.0139
voom (cor)	0	0.002	0.0037
voom (cor)	0	0.05	0.059
MAST	0	0.01	0.0066
MAST	0	0.002	0.0013
MAST	0	0.05	0.0349
edgeR (QL)	0	0.01	0.0064
edgeR (QL)	0	0.002	0.0013
edgeR (QL)	0	0.05	0.0366
edgeR (LRT)	0	0.01	0.0097
edgeR (LRT)	0	0.002	0.0025
edgeR (LRT)	0	0.05	0.0511
DESeq2	0	0.01	0.0097
DESeq2	0	0.002	0.0026
DESeq2	0	0.05	0.0509
voom	0	0.01	0.0102
voom	0	0.002	0.0018
voom	0	0.05	0.0506
voom (cor)	0	0.01	0.0153
voom (cor)	0	0.002	0.0028
voom (cor)	0	0.05	0.0655
MAST	0	0.01	0.0057
MAST	0	0.002	8e-04
MAST	0	0.05	0.0408
edgeR (QL)	0	0.01	0.0078
edgeR (QL)	0	0.002	0.0014
edgeR (QL)	0	0.05	0.0386
edgeR (LRT)	0	0.01	0.0122
edgeR (LRT)	0	0.002	0.0032
edgeR (LRT)	0	0.05	0.0543
DESeq2	0	0.01	0.0123
DESeq2	0	0.002	0.0032
DESeq2	0	0.05	0.0542
voom	0	0.01	0.0109
voom	0	0.002	0.0018
voom	0	0.05	0.0512
voom (cor)	0	0.01	0.0168
voom (cor)	0	0.002	0.0037
voom (cor)	0	0.05	0.0659
MAST	0	0.01	0.006
MAST	0	0.002	0.0012
MAST	0	0.05	0.0369
edgeR (QL)	0	0.01	0.0077
edgeR (QL)	0	0.002	0.0014
edgeR (QL)	0	0.05	0.0408
edgeR (LRT)	0	0.01	0.0125
edgeR (LRT)	0	0.002	0.0035
edgeR (LRT)	0	0.05	0.0549
DESeq2	0	0.01	0.0124
DESeq2	0	0.002	0.0034
DESeq2	0	0.05	0.055
voom	0	0.01	0.0114
voom	0	0.002	0.0017
voom	0	0.05	0.0487
voom (cor)	0	0.01	0.0169
voom (cor)	0	0.002	0.0033
voom (cor)	0	0.05	0.0626
MAST	0	0.01	0.0071
MAST	0	0.002	0.0016
MAST	0	0.05	0.0384
edgeR (QL)	0	0.01	0.0064
edgeR (QL)	0	0.002	0.0015
edgeR (QL)	0	0.05	0.0411
edgeR (LRT)	0	0.01	0.0107
edgeR (LRT)	0	0.002	0.0032
edgeR (LRT)	0	0.05	0.0522
DESeq2	0	0.01	0.0108
DESeq2	0	0.002	0.0032
DESeq2	0	0.05	0.052
voom	0	0.01	0.0122
voom	0	0.002	0.003
voom	0	0.05	0.0523
voom (cor)	0	0.01	0.0174
voom (cor)	0	0.002	0.0052
voom (cor)	0	0.05	0.0681
MAST	0	0.01	0.0079
MAST	0	0.002	0.0014
MAST	0	0.05	0.0383
edgeR (QL)	0	0.01	0.0069
edgeR (QL)	0	0.002	0.0012
edgeR (QL)	0	0.05	0.038
edgeR (LRT)	0	0.01	0.0112
edgeR (LRT)	0	0.002	0.0025
edgeR (LRT)	0	0.05	0.0527
DESeq2	0	0.01	0.0117
DESeq2	0	0.002	0.0026
DESeq2	0	0.05	0.0527
voom	0	0.01	0.0107
voom	0	0.002	0.0017
voom	0	0.05	0.054
voom (cor)	0	0.01	0.016
voom (cor)	0	0.002	0.0033
voom (cor)	0	0.05	0.0662
MAST	0	0.01	0.0074
MAST	0	0.002	8e-04
MAST	0	0.05	0.0399
edgeR (QL)	0	0.01	0.0075
edgeR (QL)	0	0.002	0.0013
edgeR (QL)	0	0.05	0.0391
edgeR (LRT)	0	0.01	0.0126
edgeR (LRT)	0	0.002	0.0029
edgeR (LRT)	0	0.05	0.0551
DESeq2	0	0.01	0.0125
DESeq2	0	0.002	0.0028
DESeq2	0	0.05	0.0552
voom	0	0.01	0.0111
voom	0	0.002	9e-04
voom	0	0.05	0.0511
voom (cor)	0	0.01	0.0161
voom (cor)	0	0.002	0.0031
voom (cor)	0	0.05	0.0668
MAST	0	0.01	0.0068
MAST	0	0.002	8e-04
MAST	0	0.05	0.0377
edgeR (QL)	0	0.01	0.0051
edgeR (QL)	0	0.002	0.0011
edgeR (QL)	0	0.05	0.0379
edgeR (LRT)	0	0.01	0.0094
edgeR (LRT)	0	0.002	0.0024
edgeR (LRT)	0	0.05	0.0517
DESeq2	0	0.01	0.0095
DESeq2	0	0.002	0.0024
DESeq2	0	0.05	0.0507
voom	0	0.01	0.0101
voom	0	0.002	0.0021
voom	0	0.05	0.0483
voom (cor)	0	0.01	0.015
voom (cor)	0	0.002	0.0036
voom (cor)	0	0.05	0.0611
MAST	0	0.01	0.007
MAST	0	0.002	0.0013
MAST	0	0.05	0.0367
edgeR (QL)	0	0.01	0.0058
edgeR (QL)	0	0.002	9e-04
edgeR (QL)	0	0.05	0.0366
edgeR (LRT)	0	0.01	0.0112
edgeR (LRT)	0	0.002	0.0018
edgeR (LRT)	0	0.05	0.0507
DESeq2	0	0.01	0.0108
DESeq2	0	0.002	0.0018
DESeq2	0	0.05	0.0513
voom	0	0.01	0.0107
voom	0	0.002	0.0022
voom	0	0.05	0.0527
voom (cor)	0	0.01	0.0159
voom (cor)	0	0.002	0.0035
voom (cor)	0	0.05	0.068
MAST	0	0.01	0.0066
MAST	0	0.002	0.0013
MAST	0	0.05	0.0386
edgeR (QL)	0.5	0.01	0.5378
edgeR (QL)	0.5	0.002	0.4606
edgeR (QL)	0.5	0.05	0.6365
edgeR (LRT)	0.5	0.01	0.5702
edgeR (LRT)	0.5	0.002	0.4991
edgeR (LRT)	0.5	0.05	0.6644
DESeq2	0.5	0.01	0.5706
DESeq2	0.5	0.002	0.5008
DESeq2	0.5	0.05	0.6637
voom	0.5	0.01	0.4587
voom	0.5	0.002	0.3813
voom	0.5	0.05	0.5653
voom (cor)	0.5	0.01	0.0361
voom (cor)	0.5	0.002	0.0159
voom (cor)	0.5	0.05	0.0914
MAST	0.5	0.01	0.4309
MAST	0.5	0.002	0.352
MAST	0.5	0.05	0.5414
Monocle	0.5	0.01	0.5741
Monocle	0.5	0.002	0.5021
Monocle	0.5	0.05	0.6695
edgeR (QL)	0.5	0.01	0.5388
edgeR (QL)	0.5	0.002	0.4565
edgeR (QL)	0.5	0.05	0.6359
edgeR (LRT)	0.5	0.01	0.5742
edgeR (LRT)	0.5	0.002	0.499
edgeR (LRT)	0.5	0.05	0.6616
DESeq2	0.5	0.01	0.5725
DESeq2	0.5	0.002	0.5003
DESeq2	0.5	0.05	0.6599
voom	0.5	0.01	0.4569
voom	0.5	0.002	0.3757
voom	0.5	0.05	0.568
voom (cor)	0.5	0.01	0.0366
voom (cor)	0.5	0.002	0.0158
voom (cor)	0.5	0.05	0.0962
MAST	0.5	0.01	0.4238
MAST	0.5	0.002	0.3458
MAST	0.5	0.05	0.5369
edgeR (QL)	0.5	0.01	0.5328
edgeR (QL)	0.5	0.002	0.4566
edgeR (QL)	0.5	0.05	0.628
edgeR (LRT)	0.5	0.01	0.5654
edgeR (LRT)	0.5	0.002	0.4975
edgeR (LRT)	0.5	0.05	0.6534
DESeq2	0.5	0.01	0.5655
DESeq2	0.5	0.002	0.4968
DESeq2	0.5	0.05	0.6521
voom	0.5	0.01	0.4556
voom	0.5	0.002	0.3771
voom	0.5	0.05	0.5707
voom (cor)	0.5	0.01	0.0359
voom (cor)	0.5	0.002	0.0143
voom (cor)	0.5	0.05	0.0916
MAST	0.5	0.01	0.4251
MAST	0.5	0.002	0.344
MAST	0.5	0.05	0.5441
edgeR (QL)	0.5	0.01	0.5322
edgeR (QL)	0.5	0.002	0.4559
edgeR (QL)	0.5	0.05	0.636
edgeR (LRT)	0.5	0.01	0.5665
edgeR (LRT)	0.5	0.002	0.4953
edgeR (LRT)	0.5	0.05	0.6616
DESeq2	0.5	0.01	0.5662
DESeq2	0.5	0.002	0.4951
DESeq2	0.5	0.05	0.6608
voom	0.5	0.01	0.4555
voom	0.5	0.002	0.3773
voom	0.5	0.05	0.5648
voom (cor)	0.5	0.01	0.0346
voom (cor)	0.5	0.002	0.014
voom (cor)	0.5	0.05	0.093
MAST	0.5	0.01	0.422
MAST	0.5	0.002	0.3474
MAST	0.5	0.05	0.5376
edgeR (QL)	0.5	0.01	0.5349
edgeR (QL)	0.5	0.002	0.4585
edgeR (QL)	0.5	0.05	0.6324
edgeR (LRT)	0.5	0.01	0.5692
edgeR (LRT)	0.5	0.002	0.4976
edgeR (LRT)	0.5	0.05	0.6628
DESeq2	0.5	0.01	0.5693
DESeq2	0.5	0.002	0.4995
DESeq2	0.5	0.05	0.661
voom	0.5	0.01	0.4577
voom	0.5	0.002	0.3769
voom	0.5	0.05	0.5666
voom (cor)	0.5	0.01	0.0376
voom (cor)	0.5	0.002	0.0169
voom (cor)	0.5	0.05	0.0969
MAST	0.5	0.01	0.4301
MAST	0.5	0.002	0.3482
MAST	0.5	0.05	0.5449
edgeR (QL)	0.5	0.01	0.5305
edgeR (QL)	0.5	0.002	0.4485
edgeR (QL)	0.5	0.05	0.6281
edgeR (LRT)	0.5	0.01	0.5649
edgeR (LRT)	0.5	0.002	0.4897
edgeR (LRT)	0.5	0.05	0.657
DESeq2	0.5	0.01	0.5646
DESeq2	0.5	0.002	0.4899
DESeq2	0.5	0.05	0.6548
voom	0.5	0.01	0.4533
voom	0.5	0.002	0.3751
voom	0.5	0.05	0.5647
voom (cor)	0.5	0.01	0.0329
voom (cor)	0.5	0.002	0.0134
voom (cor)	0.5	0.05	0.0881
MAST	0.5	0.01	0.425
MAST	0.5	0.002	0.3466
MAST	0.5	0.05	0.5396
edgeR (QL)	0.5	0.01	0.5295
edgeR (QL)	0.5	0.002	0.4553
edgeR (QL)	0.5	0.05	0.6295
edgeR (LRT)	0.5	0.01	0.5632
edgeR (LRT)	0.5	0.002	0.4936
edgeR (LRT)	0.5	0.05	0.6578
DESeq2	0.5	0.01	0.5626
DESeq2	0.5	0.002	0.4944
DESeq2	0.5	0.05	0.6565
voom	0.5	0.01	0.4471
