edgeR (QL)	0	0.01	0.0095
edgeR (QL)	0	0.002	0.0017
edgeR (QL)	0	0.05	0.0498
DESeq2	0	0.01	0.0188
DESeq2	0	0.002	0.005
DESeq2	0	0.05	0.0697
voom	0	0.01	0.0096
voom	0	0.002	0.0017
voom	0	0.05	0.0529
edgeR (QL)	0	0.01	0.0095
edgeR (QL)	0	0.002	0.0017
edgeR (QL)	0	0.05	0.0452
DESeq2	0	0.01	0.0164
DESeq2	0	0.002	0.0047
DESeq2	0	0.05	0.0631
voom	0	0.01	0.0096
voom	0	0.002	0.0018
voom	0	0.05	0.0474
edgeR (QL)	0	0.01	0.0085
edgeR (QL)	0	0.002	0.0021
edgeR (QL)	0	0.05	0.0462
DESeq2	0	0.01	0.015
DESeq2	0	0.002	0.0046
DESeq2	0	0.05	0.067
voom	0	0.01	0.0088
voom	0	0.002	0.0022
voom	0	0.05	0.048
edgeR (QL)	0	0.01	0.0115
edgeR (QL)	0	0.002	0.0024
edgeR (QL)	0	0.05	0.0494
DESeq2	0	0.01	0.0181
DESeq2	0	0.002	0.0055
DESeq2	0	0.05	0.0701
voom	0	0.01	0.0105
voom	0	0.002	0.0023
voom	0	0.05	0.0509
edgeR (QL)	0	0.01	0.0103
edgeR (QL)	0	0.002	0.0021
edgeR (QL)	0	0.05	0.0499
DESeq2	0	0.01	0.019
DESeq2	0	0.002	0.0062
DESeq2	0	0.05	0.0671
voom	0	0.01	0.0102
voom	0	0.002	0.002
voom	0	0.05	0.0523
edgeR (QL)	0	0.01	0.0102
edgeR (QL)	0	0.002	0.0022
edgeR (QL)	0	0.05	0.0508
DESeq2	0	0.01	0.0178
DESeq2	0	0.002	0.0052
DESeq2	0	0.05	0.0657
voom	0	0.01	0.0102
voom	0	0.002	0.0024
voom	0	0.05	0.052
edgeR (QL)	0	0.01	0.0108
edgeR (QL)	0	0.002	0.0019
edgeR (QL)	0	0.05	0.0481
DESeq2	0	0.01	0.0176
DESeq2	0	0.002	0.0056
DESeq2	0	0.05	0.0673
voom	0	0.01	0.0114
voom	0	0.002	0.0017
voom	0	0.05	0.0515
edgeR (QL)	0	0.01	0.0114
edgeR (QL)	0	0.002	0.0021
edgeR (QL)	0	0.05	0.0512
DESeq2	0	0.01	0.0193
DESeq2	0	0.002	0.0058
DESeq2	0	0.05	0.0668
voom	0	0.01	0.0114
voom	0	0.002	0.0019
voom	0	0.05	0.054
edgeR (QL)	0	0.01	0.0072
edgeR (QL)	0	0.002	0.0014
edgeR (QL)	0	0.05	0.0452
DESeq2	0	0.01	0.0161
DESeq2	0	0.002	0.0038
DESeq2	0	0.05	0.0663
voom	0	0.01	0.0074
voom	0	0.002	0.0012
voom	0	0.05	0.048
edgeR (QL)	0	0.01	0.0096
edgeR (QL)	0	0.002	0.0012
edgeR (QL)	0	0.05	0.0466
DESeq2	0	0.01	0.0181
DESeq2	0	0.002	0.0047
DESeq2	0	0.05	0.0653
voom	0	0.01	0.0094
voom	0	0.002	0.0016
voom	0	0.05	0.0505
edgeR (QL)	0.5	0.01	0.015
edgeR (QL)	0.5	0.002	0.0024
edgeR (QL)	0.5	0.05	0.064
DESeq2	0.5	0.01	0.0328355155482815
DESeq2	0.5	0.002	0.0117635024549918
DESeq2	0.5	0.05	0.100040916530278
voom	0.5	0.01	0.0105
voom	0.5	0.002	0.0015
voom	0.5	0.05	0.0482
edgeR (QL)	0.5	0.01	0.0165
edgeR (QL)	0.5	0.002	0.0039
edgeR (QL)	0.5	0.05	0.07
DESeq2	0.5	0.01	0.0501638001638002
DESeq2	0.5	0.002	0.0191441441441441
DESeq2	0.5	0.05	0.134725634725635
voom	0.5	0.01	0.0095
voom	0.5	0.002	0.0017
voom	0.5	0.05	0.0508
edgeR (QL)	0.5	0.01	0.0128
edgeR (QL)	0.5	0.002	0.0028
edgeR (QL)	0.5	0.05	0.0673
DESeq2	0.5	0.01	0.0282439623413835
DESeq2	0.5	0.002	0.00961932050757266
DESeq2	0.5	0.05	0.100286532951289
voom	0.5	0.01	0.0079
voom	0.5	0.002	0.0015
voom	0.5	0.05	0.0474
edgeR (QL)	0.5	0.01	0.0136
edgeR (QL)	0.5	0.002	0.0024
edgeR (QL)	0.5	0.05	0.0658
DESeq2	0.5	0.01	0.0461538461538462
DESeq2	0.5	0.002	0.0179487179487179
DESeq2	0.5	0.05	0.125641025641026
voom	0.5	0.01	0.0092
voom	0.5	0.002	0.0017
voom	0.5	0.05	0.0492
edgeR (QL)	0.5	0.01	0.0154
edgeR (QL)	0.5	0.002	0.004
edgeR (QL)	0.5	0.05	0.069
DESeq2	0.5	0.01	0.0315757204169221
DESeq2	0.5	0.002	0.010525240138974
DESeq2	0.5	0.05	0.0994277539341917
voom	0.5	0.01	0.0129
voom	0.5	0.002	0.0026
voom	0.5	0.05	0.0514
edgeR (QL)	0.5	0.01	0.0126
edgeR (QL)	0.5	0.002	0.0028
edgeR (QL)	0.5	0.05	0.064
DESeq2	0.5	0.01	0.0287960788318186
DESeq2	0.5	0.002	0.00827121413254365
DESeq2	0.5	0.05	0.0998672521188604
voom	0.5	0.01	0.0077
voom	0.5	0.002	0.0018
voom	0.5	0.05	0.0444
edgeR (QL)	0.5	0.01	0.0147
edgeR (QL)	0.5	0.002	0.0038
edgeR (QL)	0.5	0.05	0.0675
DESeq2	0.5	0.01	0.0319541171650963
DESeq2	0.5	0.002	0.0110610405571487
DESeq2	0.5	0.05	0.10221220811143
voom	0.5	0.01	0.0108
voom	0.5	0.002	0.0024
voom	0.5	0.05	0.052
edgeR (QL)	0.5	0.01	0.0134
edgeR (QL)	0.5	0.002	0.0033
edgeR (QL)	0.5	0.05	0.0629
DESeq2	0.5	0.01	0.0300552034348804
DESeq2	0.5	0.002	0.00971171539562462
DESeq2	0.5	0.05	0.0954814966264568
voom	0.5	0.01	0.0084
voom	0.5	0.002	0.0012
voom	0.5	0.05	0.0457
edgeR (QL)	0.5	0.01	0.0175
edgeR (QL)	0.5	0.002	0.0028
edgeR (QL)	0.5	0.05	0.0704
DESeq2	0.5	0.01	0.0501024590163934
DESeq2	0.5	0.002	0.0191598360655738
DESeq2	0.5	0.05	0.132069672131148
voom	0.5	0.01	0.0112
voom	0.5	0.002	0.0017
voom	0.5	0.05	0.0524
edgeR (QL)	0.5	0.01	0.0138
edgeR (QL)	0.5	0.002	0.0024
edgeR (QL)	0.5	0.05	0.0667
DESeq2	0.5	0.01	0.0469133278822567
DESeq2	0.5	0.002	0.0186017988552739
DESeq2	0.5	0.05	0.12142273098937
voom	0.5	0.01	0.0099
voom	0.5	0.002	0.0019
voom	0.5	0.05	0.0489
